ControlId,Titre,Description,Objectif,Procédure,ResultatAttendu,Severite,Remediation,ReferencePages,Type,Categorie,Commandes,Notes
1.1,Placer les bases de données sur des partitions non système,Les systèmes d'exploitation hôtes doivent inclure différentes partitions. La base de données doit être placée sur une partition non système.,Déplacer la base de données hors de la partition système réduit la probabilité de déni de service.,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables WHERE VARIABLE_NAME LIKE '%dir' or VARIABLE_NAME LIKE '%file'; Puis vérifier avec df -h","Le répertoire ne doit pas être sur root (/), /var ou /usr.",High,Copier les données vers une nouvelle partition et configurer datadir.,p.14,configuration,Système/OS,"SELECT VARIABLE_NAME, VARIABLE_VALUE FROM information_schema.global_variables WHERE VARIABLE_NAME LIKE '%dir';",Manuel
1.2,Utiliser un compte dédié avec le moins de privilèges pour le service MariaDB,Fournir un utilisateur dédié (mysql) sans droits d'administration.,Réduire l'impact d'une vulnérabilité en empêchant l'accès aux ressources non liées à MariaDB.,"ps -ef | egrep ""^mysql.*$""",Le processus doit s'exécuter sous l'utilisateur mysql.,High,Créer un utilisateur dédié mysql sans accès shell.,p.17,configuration,Système/OS,"ps -ef | egrep ""^mysql.*$""",Automated
1.3,Désactiver l'historique des commandes MariaDB,Le client mysql écrit un historique dans .mysql_history. Ce fichier peut contenir des mots de passe.,Réduire l'exposition des informations sensibles.,"find /home -name "".mysql_history""; find /root -name "".mysql_history""",Le fichier doit être lié à /dev/null.,Medium,Lier .mysql_history vers /dev/null ou définir MYSQL_HISTFILE.,p.19,configuration,Système/OS,"find /home -name "".mysql_history""",Automated
1.4,Vérifier que la variable d'environnement MYSQL_PWD n'est pas utilisée,MariaDB peut lire un mot de passe depuis MYSQL_PWD. Cela implique un mot de passe en clair.,Protéger la confidentialité des identifiants MariaDB.,grep MYSQL_PWD /proc/*/environ,Aucun résultat ne doit être retourné.,High,Utiliser une méthode plus sécurisée comme des certificats X509.,p.21,configuration,Système/OS,grep MYSQL_PWD /proc/*/environ,Automated
1.5,S'assurer que la connexion interactive est désactivée,L'utilisateur MariaDB ne doit pas avoir un accès interactif au système d'exploitation.,Limiter l'accès au système.,"getent passwd mysql | egrep ""^.*[\/bin\/false|\/sbin\/nologin]$""",Le shell doit être /bin/false ou /sbin/nologin.,High,usermod -s /bin/false mysql,p.23,configuration,Système/OS,getent passwd mysql,Automated
1.6,Vérifier que MYSQL_PWD n'est pas défini dans les profils utilisateurs,MYSQL_PWD ne doit pas être présent dans .bashrc ou .profile.,Éviter les mots de passe en clair.,"grep MYSQL_PWD /home/*/.{bashrc,profile,bash_profile}",Aucun résultat attendu.,Medium,Supprimer MYSQL_PWD des scripts de profil.,p.25,configuration,Système/OS,grep MYSQL_PWD /home/*/.profile,Automated
1.7,S'assurer que MariaDB s'exécute dans un environnement Sandbox,"L'utilisation de chroot(), systemd isolation, ou docker met MariaDB dans un bac à sable.",Restreindre l'accès au système de fichiers global.,cat /etc/mysql | egrep '(?<=^chroot=).+$',Un chemin chroot valide doit être configuré.,Medium,Configurer chroot dans my.cnf ou utiliser systemd isolation.,p.27,configuration,Système/OS,cat /etc/mysql | egrep '(?<=^chroot=).+$',Manual
2.1.1,Politique de sauvegarde en place,Une politique de sauvegarde doit être documentée et planifiée.,Garantir la disponibilité des données en cas d'incident.,crontab -l,Une planification de sauvegarde doit être listée.,Critical,Mettre en place des sauvegardes automatisées régulières.,p.33,processus,Organisationnel,crontab -l,Manual
2.1.2,Vérifier que les sauvegardes sont valides,Les sauvegardes doivent être validées régulièrement.,S'assurer de pouvoir restaurer les données sans erreurs.,Vérifier les rapports de test de validation des sauvegardes.,Rapports de validation réussie.,High,Implémenter des tests de restauration réguliers.,p.34,processus,Organisationnel,,Manual
2.1.3,Sécuriser les identifiants de sauvegarde,L'utilisateur de la base de données effectuant les sauvegardes doit utiliser des identifiants protégés.,Éviter l'abus des identifiants de sauvegarde pour compromettre le serveur.,Vérifier les permissions des fichiers contenant les mots de passe et clés SSL.,Permissions restrictives (ex: 600 ou 400).,High,Changer les permissions des fichiers.,p.35,configuration,Base de données,,Manual
