ControlId,Titre,Description,Objectif,Procédure,ResultatAttendu,Severite,Remediation,ReferencePages,Type,Categorie,Commandes,Notes
1.1,Mises à jour logicielles et correctifs de sécurité,Veiller à ce que l'instance de base de données exécute la version la plus stable et sécurisée de PostgreSQL 15.,Limiter les vulnérabilités système connues en appliquant régulièrement les correctifs de sécurité du PGDG.,Exécuter `SELECT version();` et comparer avec la dernière version mineure publiée par le PostgreSQL Global Development Group.,Version installée identique ou supérieure à la dernière version mineure active (ex: >= 15.7).,Medium,Mettre à jour l'instance PostgreSQL en installant les paquets mis à jour de l'OS ou en compilant la dernière version mineure.,p.12-p.14,processus,Système/OS,SELECT version();,champ présent
1.2,Restreindre l'installation d'extensions non approuvées,S'assurer que seules les extensions approuvées et validées par la politique de sécurité sont installées.,Prévenir l'exécution de code binaire non contrôlé ou vulnérable au sein de la base de données.,"Lister les extensions installées avec `SELECT extname, extversion FROM pg_extension;` et vérifier la conformité avec la liste validée.",Seules les extensions approuvées figurent dans la liste des extensions actives.,Medium,Désinstaller les extensions non autorisées à l'aide de la commande `DROP EXTENSION <nom_extension>;`.,p.15-p.16,configuration,Base de données,"SELECT extname, extversion FROM pg_extension;",champ présent
1.3,Retirer les fonctions PL/pgSQL et langages non approuvés,Désactiver ou restreindre la création de fonctions dans des langages non sécurisés comme PL/Perlu ou PL/Pythonu.,Éviter l'exécution de commandes système ou d'accès directs à l'OS par des utilisateurs non privilégiés.,"Vérifier la liste des langages disponibles via la requête : `SELECT lanname, lanpltrusted FROM pg_language;`",Seuls les langages de confiance (lanpltrusted=true) comme plpgsql ou sql sont utilisables par le public.,Medium,Supprimer les langages non approuvés avec : `DROP LANGUAGE <nom_langage>;`.,p.17,configuration,Base de données,"SELECT lanname, lanpltrusted FROM pg_language;",champ présent
2.1,Permissions d'accès strictes sur le répertoire PGDATA,S'assurer que le répertoire de données (PGDATA) est protégé contre toute lecture/écriture par des tiers.,Empêcher le vol ou la corruption directe des fichiers physiques de la base de données par d'autres utilisateurs de l'OS.,"En ligne de commande shell, exécuter : `ls -ld $PGDATA` et vérifier les permissions.","Les permissions doivent être strictes, typiquement rwx------ (0700) ou rwxr-x--- (0750) avec postgres comme propriétaire.",High,Modifier les permissions via : `chmod 700 $PGDATA` ou `chmod 750 $PGDATA`.,p.18-p.20,configuration,Système/OS,ls -ld $PGDATA,champ présent
2.2,Permissions d'accès strictes sur la clé privée SSL,S'assurer que le fichier contenant la clé privée SSL est uniquement lisible par l'utilisateur du service.,Prévenir l'accès ou l'usurpation de l'identité cryptographique du serveur de base de données.,"Exécuter `SHOW ssl_key_file;` pour localiser le fichier, puis en shell vérifier ses permissions avec `ls -l <chemin_clé>`.",Le fichier de clé privée doit avoir les permissions rw------- (0600) avec postgres pour propriétaire.,High,Restreindre l'accès au fichier clé : `chmod 600 /var/lib/postgresql/data/server.key` (adapter le chemin).,p.21-p.22,configuration,Système/OS,"SHOW ssl_key_file; 
# Shell:
ls -l /var/lib/postgresql/data/server.key",champ présent
3.1,Activer le collecteur de journaux (logging_collector),S'assurer que le paramètre `logging_collector` est activé dans la configuration de PostgreSQL.,Garantir que tous les événements journalisés sont bien redirigés et écrits dans des fichiers de log physiquement sauvegardés.,Exécuter la commande SQL : `SHOW logging_collector;`,Le paramètre doit renvoyer la valeur exacte 'on'.,High,"Modifier le paramètre dans postgresql.conf : `logging_collector = on`, puis redémarrer le serveur.",p.25-p.26,configuration,Base de données,SHOW logging_collector;,champ présent
3.2,Configurer une destination de log appropriée (log_destination),S'assurer que les journaux sont envoyés vers des destinations fiables et structurées comme stderr ou syslog.,Garantir que les logs de sécurité sont stockés de manière à pouvoir être analysés ou envoyés vers un SIEM.,Exécuter la commande SQL : `SHOW log_destination;`,"La destination recommandée est stderr, csvlog, syslog ou une combinaison approuvée.",Medium,Configurer via SQL : `ALTER SYSTEM SET log_destination = 'stderr';` et recharger la configuration.,p.27-p.28,configuration,Base de données,SHOW log_destination;,champ présent
3.3,Permissions d'accès sur les fichiers de log (log_file_mode),Restreindre le mode de création par défaut des fichiers de log de la base de données.,Empêcher la fuite de données d'audit ou d'informations d'erreur sensibles vers des utilisateurs OS non privilégiés.,Exécuter la commande SQL : `SHOW log_file_mode;`,Le mode doit être configuré à 0600 (ou plus restrictif).,Medium,Modifier la configuration : `ALTER SYSTEM SET log_file_mode = '0600';` suivi de `SELECT pg_reload_conf();`.,p.29-p.30,configuration,Base de données,SHOW log_file_mode;,champ présent
3.4,Niveau minimal de message dans les logs (log_min_messages),Définir le niveau de verbosité minimum des logs système de PostgreSQL.,Avoir un historique suffisant pour identifier les dysfonctionnements du moteur sans inonder le disque.,Exécuter la commande SQL : `SHOW log_min_messages;`,La valeur recommandée est 'warning' ou plus verbeuse (comme 'notice' ou 'info').,Medium,Ajuster le niveau : `ALTER SYSTEM SET log_min_messages = 'warning';` puis recharger.,p.31-p.32,configuration,Base de données,SHOW log_min_messages;,champ présent
3.5,Journaliser les requêtes provoquant des erreurs (log_min_error_statement),S'assurer que toute instruction SQL provoquant une erreur de niveau suffisant est consignée.,Détecter les tentatives de requêtes suspectes ou les attaques par injection SQL en analysant les commandes en échec.,Exécuter la commande SQL : `SHOW log_min_error_statement;`,La valeur doit être configurée au minimum à 'error' (ou plus restrictif).,Medium,Ajuster la configuration : `ALTER SYSTEM SET log_min_error_statement = 'error';` puis recharger.,p.33-p.34,configuration,Base de données,SHOW log_min_error_statement;,champ présent
